"slicenum","time","condition","censor","subnum","subgroup","run","cc200_LR_Thalamus","cc200_L_Thalamus","cc200_R_Thalamus","cc200_Thalamus"
36,NA,NA,1,"7779","proband","Pulse60",98.9377,99.0152,98.9774,98.9377
37,NA,NA,1,"7779","proband","Pulse60",99.1702,98.9457,98.5172,99.1702
38,NA,NA,1,"7779","proband","Pulse60",99.2789,99.3386,98.9383,99.2789
39,NA,NA,1,"7779","proband","Pulse60",99.3198,98.9456,99.4242,99.3198
40,NA,NA,1,"7779","proband","Pulse60",99.882,99.8297,99.7182,99.882
41,NA,NA,1,"7779","proband","Pulse60",99.5733,99.7349,99.7192,99.5733
42,NA,NA,1,"7779","proband","Pulse60",100.18,100.32,99.9847,100.18
43,NA,NA,1,"7779","proband","Pulse60",99.548,99.6132,99.4782,99.548
44,NA,NA,1,"7779","proband","Pulse60",100.235,100.257,100.149,100.235
45,NA,NA,1,"7779","proband","Pulse60",99.7967,99.9053,99.7284,99.7967
46,NA,NA,1,"7779","proband","Pulse60",100.15,99.7455,99.909,100.15
47,NA,NA,1,"7779","proband","Pulse60",99.6834,99.7899,100,99.6834
48,NA,NA,1,"7779","proband","Pulse60",99.4249,98.868,99.8932,99.4249
49,NA,NA,1,"7779","proband","Pulse60",100.059,100.002,100.276,100.059
50,NA,NA,1,"7779","proband","Pulse60",99.394,99.399,99.7386,99.394
51,NA,NA,1,"7779","proband","Pulse60",100.577,100.56,100.348,100.577
52,NA,NA,1,"7779","proband","Pulse60",100.258,100.231,100.278,100.258
53,NA,NA,1,"7779","proband","Pulse60",99.9307,99.6087,99.8311,99.9307
54,NA,NA,1,"7779","proband","Pulse60",99.8755,99.7615,99.9128,99.8755
55,NA,NA,1,"7779","proband","Pulse60",99.2182,98.831,99.9372,99.2182
56,NA,NA,1,"7779","proband","Pulse60",100.007,100.154,99.9028,100.007
57,NA,NA,1,"7779","proband","Pulse60",99.805,99.7662,100.055,99.805
58,NA,NA,1,"7779","proband","Pulse60",100.217,100.169,99.8511,100.217
59,NA,NA,1,"7779","proband","Pulse60",99.4661,99.4413,99.7114,99.4661
60,NA,NA,1,"7779","proband","Pulse60",99.636,99.3622,99.3295,99.636
61,NA,NA,1,"7779","proband","Pulse60",99.6697,99.5618,99.6808,99.6697
62,NA,NA,1,"7779","proband","Pulse60",99.3737,98.8974,99.2408,99.3737
63,NA,NA,1,"7779","proband","Pulse60",99.8772,99.5997,99.7309,99.8772
64,NA,NA,1,"7779","proband","Pulse60",100.72,100.837,100.384,100.72
65,NA,NA,1,"7779","proband","Pulse60",100.296,100.236,100.385,100.296
66,NA,NA,1,"7779","proband","Pulse60",100.3,100.853,100.554,100.3
67,NA,NA,1,"7779","proband","Pulse60",100.588,100.653,100.396,100.588
68,NA,NA,1,"7779","proband","Pulse60",100.53,100.609,99.9656,100.53
69,NA,NA,1,"7779","proband","Pulse60",100.385,100.693,100.333,100.385
70,NA,NA,1,"7779","proband","Pulse60",100.024,100.168,99.9369,100.024
71,NA,NA,1,"7779","proband","Pulse60",100.178,100.499,100.148,100.178
72,NA,NA,1,"7779","proband","Pulse60",100.871,100.702,100.593,100.871
73,NA,NA,1,"7779","proband","Pulse60",99.8717,99.8518,100.296,99.8717
74,NA,NA,1,"7779","proband","Pulse60",101.112,101.398,101.183,101.112
75,NA,NA,1,"7779","proband","Pulse60",100.008,100.033,100.193,100.008
76,NA,NA,1,"7779","proband","Pulse60",100.046,100.061,99.9511,100.046
77,NA,NA,1,"7779","proband","Pulse60",100.049,100.506,100.239,100.049
78,NA,NA,1,"7779","proband","Pulse60",100.12,100.077,100.078,100.12
79,NA,NA,1,"7779","proband","Pulse60",100.016,99.9676,100.154,100.016
80,NA,NA,1,"7779","proband","Pulse60",99.0394,98.7563,99.7659,99.0394
81,NA,NA,1,"7779","proband","Pulse60",99.6115,99.5489,99.9119,99.6115
82,NA,NA,1,"7779","proband","Pulse60",99.4855,99.3118,100.446,99.4855
83,NA,NA,1,"7779","proband","Pulse60",100.636,100.87,100.527,100.636
84,NA,NA,1,"7779","proband","Pulse60",99.9033,100.249,100.008,99.9033
85,NA,NA,1,"7779","proband","Pulse60",99.5104,99.9385,99.0842,99.5104
86,NA,NA,1,"7779","proband","Pulse60",99.8702,99.9639,99.3855,99.8702
87,NA,NA,1,"7779","proband","Pulse60",98.9722,99.0638,99.2883,98.9722
88,NA,NA,1,"7779","proband","Pulse60",100.237,99.9589,100.253,100.237
89,NA,NA,1,"7779","proband","Pulse60",100.561,100.179,101.06,100.561
90,NA,NA,1,"7779","proband","Pulse60",101.098,101.375,100.721,101.098
91,NA,NA,1,"7779","proband","Pulse60",100.122,100.157,100.306,100.122
92,NA,NA,1,"7779","proband","Pulse60",101.225,101.598,100.998,101.225
